Date,Date,Close Price,Price Difference Class
2018-04-20 14:00:00,2018-04-20 14:00:00,8498.31,0
2018-04-20 15:00:00,2018-04-20 15:00:00,8468.69,1
2018-04-20 16:00:00,2018-04-20 16:00:00,8509.65,0
2018-04-20 17:00:00,2018-04-20 17:00:00,8494.4,1
2018-04-20 18:00:00,2018-04-20 18:00:00,8504.0,1
2018-04-20 19:00:00,2018-04-20 19:00:00,8521.01,1
2018-04-20 20:00:00,2018-04-20 20:00:00,8521.84,1
2018-04-20 21:00:00,2018-04-20 21:00:00,8533.46,1
2018-04-20 22:00:00,2018-04-20 22:00:00,8871.93,0
2018-04-20 23:00:00,2018-04-20 23:00:00,8863.42,0
2018-04-21 00:00:00,2018-04-21 00:00:00,8826.34,0
2018-04-21 01:00:00,2018-04-21 01:00:00,8824.88,1
2018-04-21 02:00:00,2018-04-21 02:00:00,8845.13,1
2018-04-21 03:00:00,2018-04-21 03:00:00,8866.0,0
2018-04-21 04:00:00,2018-04-21 04:00:00,8859.96,1
2018-04-21 05:00:00,2018-04-21 05:00:00,8865.7,1
2018-04-21 06:00:00,2018-04-21 06:00:00,8928.28,0
2018-04-21 07:00:00,2018-04-21 07:00:00,8889.95,0
2018-04-21 08:00:00,2018-04-21 08:00:00,8807.13,0
2018-04-21 09:00:00,2018-04-21 09:00:00,8708.96,1
2018-04-21 10:00:00,2018-04-21 10:00:00,8721.27,0
2018-04-21 11:00:00,2018-04-21 11:00:00,8706.49,1
2018-04-21 12:00:00,2018-04-21 12:00:00,8757.74,1
2018-04-21 13:00:00,2018-04-21 13:00:00,8767.1,0
2018-04-21 14:00:00,2018-04-21 14:00:00,8756.03,1
2018-04-21 15:00:00,2018-04-21 15:00:00,8818.56,0
2018-04-21 16:00:00,2018-04-21 16:00:00,8774.7,0
2018-04-21 17:00:00,2018-04-21 17:00:00,8764.43,1
2018-04-21 18:00:00,2018-04-21 18:00:00,8791.07,0
2018-04-21 19:00:00,2018-04-21 19:00:00,8783.03,0
2018-04-21 20:00:00,2018-04-21 20:00:00,8773.07,1
2018-04-21 21:00:00,2018-04-21 21:00:00,8785.05,1
2018-04-21 22:00:00,2018-04-21 22:00:00,8805.24,1
2018-04-21 23:00:00,2018-04-21 23:00:00,8913.52,0
2018-04-22 00:00:00,2018-04-22 00:00:00,8832.33,0
2018-04-22 01:00:00,2018-04-22 01:00:00,8826.93,1
2018-04-22 02:00:00,2018-04-22 02:00:00,8855.31,0
2018-04-22 03:00:00,2018-04-22 03:00:00,8830.01,1
2018-04-22 04:00:00,2018-04-22 04:00:00,8840.33,1
2018-04-22 05:00:00,2018-04-22 05:00:00,8844.18,1
2018-04-22 06:00:00,2018-04-22 06:00:00,8880.52,0
2018-04-22 07:00:00,2018-04-22 07:00:00,8871.22,1
2018-04-22 08:00:00,2018-04-22 08:00:00,8936.3,0
2018-04-22 09:00:00,2018-04-22 09:00:00,8908.58,1
2018-04-22 10:00:00,2018-04-22 10:00:00,8950.33,0
2018-04-22 11:00:00,2018-04-22 11:00:00,8928.47,0
2018-04-22 12:00:00,2018-04-22 12:00:00,8856.4,1
2018-04-22 13:00:00,2018-04-22 13:00:00,8874.66,1
2018-04-22 14:00:00,2018-04-22 14:00:00,8979.32,0
2018-04-22 15:00:00,2018-04-22 15:00:00,8934.24,0
2018-04-22 16:00:00,2018-04-22 16:00:00,8915.47,1
2018-04-22 17:00:00,2018-04-22 17:00:00,8930.64,1
2018-04-22 18:00:00,2018-04-22 18:00:00,8952.86,0
2018-04-22 19:00:00,2018-04-22 19:00:00,8877.41,1
2018-04-22 20:00:00,2018-04-22 20:00:00,8887.38,1
2018-04-22 21:00:00,2018-04-22 21:00:00,8913.12,0
2018-04-22 22:00:00,2018-04-22 22:00:00,8853.35,0
2018-04-22 23:00:00,2018-04-22 23:00:00,8798.62,1
2018-04-23 00:00:00,2018-04-23 00:00:00,8820.91,1
2018-04-23 01:00:00,2018-04-23 01:00:00,8871.84,0
2018-04-23 02:00:00,2018-04-23 02:00:00,8846.95,1
2018-04-23 03:00:00,2018-04-23 03:00:00,8867.93,0
2018-04-23 04:00:00,2018-04-23 04:00:00,8859.24,1
2018-04-23 05:00:00,2018-04-23 05:00:00,8875.9,1
2018-04-23 06:00:00,2018-04-23 06:00:00,8901.69,1
2018-04-23 07:00:00,2018-04-23 07:00:00,8929.69,0
2018-04-23 08:00:00,2018-04-23 08:00:00,8912.58,0
2018-04-23 09:00:00,2018-04-23 09:00:00,8897.74,0
2018-04-23 10:00:00,2018-04-23 10:00:00,8896.0,1
2018-04-23 11:00:00,2018-04-23 11:00:00,8919.18,1
2018-04-23 12:00:00,2018-04-23 12:00:00,8941.92,0
2018-04-23 13:00:00,2018-04-23 13:00:00,8926.38,0
2018-04-23 14:00:00,2018-04-23 14:00:00,8916.94,0
2018-04-23 15:00:00,2018-04-23 15:00:00,8903.57,1
2018-04-23 16:00:00,2018-04-23 16:00:00,8914.5,0
2018-04-23 17:00:00,2018-04-23 17:00:00,8888.18,1
2018-04-23 18:00:00,2018-04-23 18:00:00,8905.64,0
2018-04-23 19:00:00,2018-04-23 19:00:00,8853.59,1
2018-04-23 20:00:00,2018-04-23 20:00:00,8929.8,1
2018-04-23 21:00:00,2018-04-23 21:00:00,8934.87,0
2018-04-23 22:00:00,2018-04-23 22:00:00,8925.58,1
2018-04-23 23:00:00,2018-04-23 23:00:00,8938.27,1
2018-04-24 00:00:00,2018-04-24 00:00:00,9179.81,1
2018-04-24 01:00:00,2018-04-24 01:00:00,9186.36,1
2018-04-24 02:00:00,2018-04-24 02:00:00,9192.36,0
2018-04-24 03:00:00,2018-04-24 03:00:00,9191.43,1
2018-04-24 04:00:00,2018-04-24 04:00:00,9254.04,1
2018-04-24 05:00:00,2018-04-24 05:00:00,9269.23,0
2018-04-24 06:00:00,2018-04-24 06:00:00,9256.42,0
2018-04-24 07:00:00,2018-04-24 07:00:00,9220.79,1
2018-04-24 08:00:00,2018-04-24 08:00:00,9254.52,1
2018-04-24 09:00:00,2018-04-24 09:00:00,9272.43,1
2018-04-24 10:00:00,2018-04-24 10:00:00,9292.82,1
2018-04-24 11:00:00,2018-04-24 11:00:00,9293.03,1
2018-04-24 12:00:00,2018-04-24 12:00:00,9353.06,0
2018-04-24 13:00:00,2018-04-24 13:00:00,9246.69,1
2018-04-24 14:00:00,2018-04-24 14:00:00,9290.85,1
2018-04-24 15:00:00,2018-04-24 15:00:00,9348.77,1
2018-04-24 16:00:00,2018-04-24 16:00:00,9350.99,1
2018-04-24 17:00:00,2018-04-24 17:00:00,9402.72,0
2018-04-24 18:00:00,2018-04-24 18:00:00,9398.09,1
2018-04-24 19:00:00,2018-04-24 19:00:00,9453.92,0
2018-04-24 20:00:00,2018-04-24 20:00:00,9450.76,1
2018-04-24 21:00:00,2018-04-24 21:00:00,9468.16,1
2018-04-24 22:00:00,2018-04-24 22:00:00,9574.75,1
2018-04-24 23:00:00,2018-04-24 23:00:00,9673.53,0
2018-04-25 00:00:00,2018-04-25 00:00:00,9561.92,1
2018-04-25 01:00:00,2018-04-25 01:00:00,9634.38,1
2018-04-25 02:00:00,2018-04-25 02:00:00,9697.73,0
2018-04-25 03:00:00,2018-04-25 03:00:00,9398.39,0
2018-04-25 04:00:00,2018-04-25 04:00:00,9282.69,1
2018-04-25 05:00:00,2018-04-25 05:00:00,9393.05,1
2018-04-25 06:00:00,2018-04-25 06:00:00,9420.5,0
2018-04-25 07:00:00,2018-04-25 07:00:00,9401.39,0
2018-04-25 08:00:00,2018-04-25 08:00:00,9307.04,1
2018-04-25 09:00:00,2018-04-25 09:00:00,9309.01,0
2018-04-25 10:00:00,2018-04-25 10:00:00,9142.82,1
2018-04-25 11:00:00,2018-04-25 11:00:00,9158.65,0
2018-04-25 12:00:00,2018-04-25 12:00:00,9146.99,0
2018-04-25 13:00:00,2018-04-25 13:00:00,9055.13,0
2018-04-25 14:00:00,2018-04-25 14:00:00,8897.04,1
2018-04-25 15:00:00,2018-04-25 15:00:00,8957.34,0
2018-04-25 16:00:00,2018-04-25 16:00:00,8920.33,1
2018-04-25 17:00:00,2018-04-25 17:00:00,9043.36,0
2018-04-25 18:00:00,2018-04-25 18:00:00,8964.95,1
2018-04-25 19:00:00,2018-04-25 19:00:00,8972.89,1
2018-04-25 20:00:00,2018-04-25 20:00:00,9073.93,1
2018-04-25 21:00:00,2018-04-25 21:00:00,9164.87,0
2018-04-25 22:00:00,2018-04-25 22:00:00,8956.3,0
2018-04-25 23:00:00,2018-04-25 23:00:00,8856.51,0
2018-04-26 00:00:00,2018-04-26 00:00:00,8811.5,0
2018-04-26 01:00:00,2018-04-26 01:00:00,8766.64,1
2018-04-26 02:00:00,2018-04-26 02:00:00,8845.62,0
2018-04-26 03:00:00,2018-04-26 03:00:00,8807.67,1
2018-04-26 04:00:00,2018-04-26 04:00:00,8915.97,0
2018-04-26 05:00:00,2018-04-26 05:00:00,8878.65,0
2018-04-26 06:00:00,2018-04-26 06:00:00,8827.79,1
2018-04-26 07:00:00,2018-04-26 07:00:00,8851.09,0
2018-04-26 08:00:00,2018-04-26 08:00:00,8715.83,1
2018-04-26 09:00:00,2018-04-26 09:00:00,8731.53,1
2018-04-26 10:00:00,2018-04-26 10:00:00,8836.88,1
2018-04-26 11:00:00,2018-04-26 11:00:00,8851.19,1
2018-04-26 12:00:00,2018-04-26 12:00:00,8893.2,0
2018-04-26 13:00:00,2018-04-26 13:00:00,8818.09,1
2018-04-26 14:00:00,2018-04-26 14:00:00,8823.17,0
2018-04-26 15:00:00,2018-04-26 15:00:00,8800.48,1
2018-04-26 16:00:00,2018-04-26 16:00:00,8886.07,0
2018-04-26 17:00:00,2018-04-26 17:00:00,8856.43,0
2018-04-26 18:00:00,2018-04-26 18:00:00,8837.33,1
2018-04-26 19:00:00,2018-04-26 19:00:00,8869.88,1
2018-04-26 20:00:00,2018-04-26 20:00:00,9107.84,0
2018-04-26 21:00:00,2018-04-26 21:00:00,9095.02,1
2018-04-26 22:00:00,2018-04-26 22:00:00,9204.52,1
2018-04-26 23:00:00,2018-04-26 23:00:00,9296.15,0
2018-04-27 00:00:00,2018-04-27 00:00:00,9224.69,1
2018-04-27 01:00:00,2018-04-27 01:00:00,9239.84,1
2018-04-27 02:00:00,2018-04-27 02:00:00,9259.34,0
2018-04-27 03:00:00,2018-04-27 03:00:00,9147.6,1
2018-04-27 04:00:00,2018-04-27 04:00:00,9208.5,0
2018-04-27 05:00:00,2018-04-27 05:00:00,9181.09,1
2018-04-27 06:00:00,2018-04-27 06:00:00,9225.02,0
2018-04-27 07:00:00,2018-04-27 07:00:00,9221.73,1
2018-04-27 08:00:00,2018-04-27 08:00:00,9250.98,1
2018-04-27 09:00:00,2018-04-27 09:00:00,9351.19,1
2018-04-27 10:00:00,2018-04-27 10:00:00,9357.5,0
2018-04-27 11:00:00,2018-04-27 11:00:00,9306.22,0
2018-04-27 12:00:00,2018-04-27 12:00:00,9286.16,0
2018-04-27 13:00:00,2018-04-27 13:00:00,9219.89,1
2018-04-27 14:00:00,2018-04-27 14:00:00,9260.28,0
2018-04-27 15:00:00,2018-04-27 15:00:00,9229.29,1
2018-04-27 16:00:00,2018-04-27 16:00:00,9273.32,1
2018-04-27 17:00:00,2018-04-27 17:00:00,9277.47,0
2018-04-27 18:00:00,2018-04-27 18:00:00,9233.61,0
2018-04-27 19:00:00,2018-04-27 19:00:00,9092.0,0
2018-04-27 20:00:00,2018-04-27 20:00:00,9017.72,0
2018-04-27 21:00:00,2018-04-27 21:00:00,9014.07,1
2018-04-27 22:00:00,2018-04-27 22:00:00,9065.79,0
2018-04-27 23:00:00,2018-04-27 23:00:00,8981.24,1
2018-04-28 00:00:00,2018-04-28 00:00:00,9030.67,1
2018-04-28 01:00:00,2018-04-28 01:00:00,9110.68,0
2018-04-28 02:00:00,2018-04-28 02:00:00,9049.12,1
2018-04-28 03:00:00,2018-04-28 03:00:00,9144.13,0
2018-04-28 04:00:00,2018-04-28 04:00:00,9119.08,1
2018-04-28 05:00:00,2018-04-28 05:00:00,9144.54,1
2018-04-28 06:00:00,2018-04-28 06:00:00,9151.63,0
2018-04-28 07:00:00,2018-04-28 07:00:00,9122.52,1
